timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550077967635,121,HTTP Request,200,,Users 1-39,text,true,,913,140,49,49,https://www-uat.liferay.com/c/portal/saml/sso,118,0,82
1550077967363,490,HTTP Request,200,OK,Users 1-12,text,true,,58437,1007,48,48,https://web-uat.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fweb%2Fricardo.funke%2Fsupport,390,0,355
1550077967363,390,HTTP Request-0,301,Moved Permanently,Users 1-12,text,true,,444,148,48,48,https://www-uat.liferay.com/web/ricardo.funke/support,390,0,355
1550077967757,48,HTTP Request-1,302,Found,Users 1-12,text,true,,577,148,48,48,https://web-uat.liferay.com/web/ricardo.funke/support,48,0,35
1550077967806,7,HTTP Request-2,302,Found,Users 1-12,text,true,,717,310,48,48,https://web-uat.liferay.com/c/portal/login?redirect=%2Fweb%2Fricardo.funke%2Fsupport&p_l_id=52010809,7,0,0
1550077967814,39,HTTP Request-3,200,OK,Users 1-12,text,true,,56699,401,48,48,https://web-uat.liferay.com/sign-in?p_p_state=maximized&p_p_mode=view&saveLastPath=0&_58_struts_action=%2Flogin%2Flogin&p_p_id=58&p_p_lifecycle=0&_58_redirect=%2Fweb%2Fricardo.funke%2Fsupport,29,0,0
1550077967660,243,HTTP Request,200,200,Users 1-42,text,true,,6519,789,47,47,https://customer-uat.liferay.com/c/portal/login?redirect=%2Fgroup%2Fcustomer%2Fdownloads,93,0,71
1550077967660,93,HTTP Request-0,301,Moved Permanently,Users 1-42,text,true,,476,180,47,47,https://www-uat.liferay.com/group/customer/dxp/downloads/digital-enterprise/fix-packs,93,0,71
1550077967757,36,HTTP Request-1,301,Moved Permanently,Users 1-42,text,true,,556,180,47,47,https://web-uat.liferay.com/group/customer/dxp/downloads/digital-enterprise/fix-packs,36,0,29
1550077967793,29,HTTP Request-2,302,302,Users 1-42,text,true,,440,152,47,47,https://customer-uat.liferay.com/group/customer/downloads,29,0,18
1550077967822,81,HTTP Request-3,200,200,Users 1-42,text,true,,5047,277,47,47,https://customer-uat.liferay.com/c/portal/login?redirect=%2Fgroup%2Fcustomer%2Fdownloads,81,0,0
1550077967635,278,HTTP Request,503,Service Temporarily Unavailable,Users 1-40,text,false,Test failed: code expected to match /200/,1601,492,46,46,https://customer-uat.liferay.com/group/customer/downloads,119,0,84
1550077967635,119,HTTP Request-0,301,Moved Permanently,Users 1-40,text,true,,466,170,46,46,https://www-uat.liferay.com/group/customer/dxp/downloads/digital-enterprise,119,0,84
1550077967758,29,HTTP Request-1,301,Moved Permanently,Users 1-40,text,true,,556,170,46,46,https://web-uat.liferay.com/group/customer/dxp/downloads/digital-enterprise,29,0,22
1550077967788,125,HTTP Request-2,503,Service Temporarily Unavailable,Users 1-40,text,false,,579,152,46,46,https://customer-uat.liferay.com/group/customer/downloads,125,0,22
1550077967432,612,HTTP Request,200,OK,Users 1-19,text,true,,128968,1346,45,45,https://help.liferay.com/hc/en-us/categories/360000867932,322,0,287
1550077967432,322,HTTP Request-0,301,Moved Permanently,Users 1-19,text,true,,437,141,45,45,https://www-uat.liferay.com/group/customer/dxp,322,0,287
1550077967756,41,HTTP Request-1,301,Moved Permanently,Users 1-19,text,true,,544,141,45,45,https://web-uat.liferay.com/group/customer/dxp,41,0,36
1550077967798,210,HTTP Request-2,301,Moved Permanently,Users 1-19,text,true,,2081,146,45,45,https://help.liferay.com/hc/categories/360000867932,210,0,56
1550077968009,35,HTTP Request-3,200,OK,Users 1-19,text,true,,125906,918,45,45,https://help.liferay.com/hc/en-us/categories/360000867932,18,0,0
1550077967570,481,HTTP Request,200,OK,Users 1-33,text,true,,63575,284,44,44,https://web-uat.liferay.com/marketplace-upgrade,184,0,151
